Acidobacteria bacterium UCL-084,1030798
Acidobacteria bacterium UCL-085,1030799
Acidobacteria bacterium UCL-086,1030800
Acidobacteria bacterium UCL-087,1030801
Acidobacteria bacterium UCL-088,1030802
Acidobacteria bacterium UCL-089,1030803
Acidobacteria bacterium UCL-090,1030804
Acidobacteria bacterium UCL-091,1030805
Acidobacteria bacterium UCL-092,1030806
Acidobacteria bacterium UCL-093,1030807
Acidobacteria bacterium UCL-094,1030808
Acidobacteria bacterium UCL-095,1030809
Acidobacteria bacterium UCL-096,1030810
Acidobacteria bacterium UCL-097,1030811
Acidobacteria bacterium UCL-098,1030812
Acidobacteria bacterium UCL-099,1030813
Acidobacteria bacterium UCL-100,1030814
Acidobacteria bacterium UCL-101,1030815
Acidobacteria bacterium UCL-102,1030816
Acidobacteria bacterium UCL-103,1030817
Acidobacteria bacterium UCL-105,1030818
Acidobacteria bacterium UCL-107,1030819
Acidobacteria bacterium UCL-108,1030820
Acidobacteria bacterium UCL-109,1030821
Acidobacteria bacterium UCL-110,1030822
Acidobacteria bacterium UCL-111,1030823
Acidobacteria bacterium UCL-112,1030824
Acidobacteria bacterium UCL-113,1030825
Acidobacteria bacterium UCL-114,1030826
Acidobacteria bacterium UCL-115,1030827
Acidobacteria bacterium UCL-117,1030828
Acidobacteria bacterium UCL-118,1030829
Acidobacteria bacterium URHE0068,1703171
Acidobacteria bacterium WSF1-34,573135
Acidobacteria bacterium WSR12,1346880
Acidobacteria bacterium WSR6,1346881
Acidobacteria bacterium WWH111,1387462
Acidobacteria bacterium WWH4,1387463
Acidobacteria bacterium WWH8,1387464
Acidobacteria bacterium WX184,1387465
Acidobacteria bacterium WX22,1387466
Acidobacteria bacterium WX25,1387467
Acidobacteria bacterium WX27,1387468
Acidobacteria bacterium WX72,1387469
Acidobacteria bacterium WX90,1391518
Acidobacteria bacterium WY103,1387470
Acidobacteria bacterium WY11,1387471
Acidobacteria bacterium WY67,1391519
Acidobacteria bacterium YJF2-13,573131
